channel_age,subscriber_count,total_videos,total_views,average_likes,average_comments,average_shares,upload_frequency,video_quality_score,social_media_followers,content_type,target_audience_age_group,target_audience_interests,advertising_spend,predicted_views,predicted_likes,predicted_comments,view_growth_rate
10,11500,60,145000,1250,300,150,Weekly,7,10500,Tutorial,26-30,Technology,2000,150000,1300,320,0.09
11,12000,62,150000,1300,310,155,Weekly,7,11000,Tutorial,31-35,Education,2100,155000,1350,330,0.10
12,12500,64,155000,1350,320,160,Weekly,7,11500,Tutorial,31-35,Technology,2200,160000,1400,340,0.11
13,13000,66,160000,1400,330,165,Weekly,7,12000,Tutorial,36-40,Education,2300,165000,1450,350,0.12
14,13500,68,165000,1450,340,170,Weekly,7,12500,Tutorial,36-40,Technology,2400,170000,1500,360,0.13


6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Geography,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Science,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Archaeology,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Anthropology,2500,155000,2100,430,0.05
6,12000,60,150000,2000,400,200,Bi-weekly,8,10000,Documentary,18-24,Sociology,2500,155000,2100,430,0.05



7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,International Relations,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Politics,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Economics,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Technology,3000,185000,2600,550,0.06
7,15000,80,180000,2500,500,250,Weekly,9,15000,News,19-25,Climate Change,3000,185000,2600,550,0.06
